award received	Herbert Menges was appointed an Officer of the Order of the British Empire in 1963.	Herbert Menges	Officer of the Order of the British Empire
country	The Rajah Sikatuna Protected Landscape is a protected landscape area of forested limestone hills, grasslands and natural springs in the island province of Bohol in the Central Visayas region of the Philippines.	Rajah Sikatuna Protected Landscape	Philippines
country	RUM Racquetball Courts are a Racquetball center on UPRM in Mayagüez, Puerto Rico.	RUM Racquetball Courts	Puerto Rico
country	Ali Pur Noon is a historic village near Bhera in Sargodha District, Punjab, Pakistan.	Ali Pur Noon	Pakistan
country	The Taipei Fine Arts Museum (TFAM; Chinese: 台北市立美術館; pinyin: Táiběi Shìlì Měishùguǎn) is a museum in Zhongshan District, Taipei, Taiwan.	Taipei Fine Arts Museum	Taiwan
country	Capilano Mall is a 360,000 square foot shopping mall in the City of North Vancouver in British Columbia, Canada.	Capilano Mall	Canada
country	St Patrick's Cathedral, Killala is one of two cathedral churches (the other is St Mary's Cathedral, Tuam) in the Diocese of Tuam, Killala and Achonry of the Church of Ireland.	St Patrick's Cathedral, Killala	Ireland
country	Gargždai ( pronunciation ) is a city in western Lithuania located in Klaipėda County.	Gargždai	Lithuania
country	San Fernando del Valle de Catamarca (Spanish pronunciation: (sam feɾˈnando ðel ˈβaʝe ðe kataˈmaɾka)) is a city in northwestern Argentina and capital of Catamarca Province, on the Río Valle River, at the feet of the Cerro Ambato.	San Fernando del Valle de Catamarca	Argentina
country	Žukovo (pronounced (ˈʒuːkɔʋɔ)) is a settlement in the hills north of Velike Poljane in the Municipality of Ribnica in southern Slovenia.	Žukovo	Slovenia
country	Pandalur is a small town in the Gudalur, Nilgiris of Tamil Nadu, India.	Pandalur	India
country	Middle Franconia (German: Mittelfranken) is one of the three administrative regions of Franconia in Bavaria, Germany.	Middle Franconia	Germany
country	Paniai Regency is one of the regencies (kabupaten) in Papua province of Indonesia.	Paniai Regency	Indonesia
country	Zavaritski Caldera (Russian: Вулкан Заварицкого, Vulkan Zavaritskogo) is a caldera located in the central part of Simushir Island, Kuril Islands, Russia.	Zavaritski Caldera	Russia
country	The Café Anglais (French pronunciation: ​(kafe ɑ̃ɡlɛ), English café) was a famous French restaurant located at the corner of the Boulevard des Italiens (n° 13) and the Rue de Marivaux in Paris, France.	Café Anglais	France
country	Neugebäude Palace (German: Schloss Neugebäude) is a large Mannerist castle complex in the Simmering dictrict of Vienna, Austria.	Neugebäude Palace	Austria
country	Lamen Bay Airport (IATA: LNB, ICAO: NVSM) is an airport in Lamen Bay on Epi, Vanuatu.	Lamen Bay Airport	Vanuatu
country	Barnik (Serbian: Барник) is a village in the municipality of Sokolac, Bosnia and Herzegovina.	Barnik	Bosnia and Herzegovina
country	Bergstadt Lößnitz (``Mining Town of Lößnitz'', also spelt Lössnitz), sometimes also called Muhme (``Aunt'') for its age, is a town in the district of Erzgebirgskreis, Saxony, Germany, and belongs to the Town League of Silberberg (Städtebund Silberberg).	Lößnitz	Germany
country	The Frankfurter Engel (German for Frankfurt angel) is a memorial in the city of Frankfurt am Main in southwestern Germany; it is dedicated to homosexual people who were persecuted under Nazi rule, and as well as under Paragraph /Section 175 of the German Criminal Code during the 1950s and 1960s.	Frankfurter Engel	Germany
country	The Brazilian Military Cemetery of Pistoia is a former WW II memorial cemetery located in Pistoia, Toscana, Italy.	Brazilian Military Cemetery of Pistoia	Italy
country	Cooma is a town in the south of New South Wales, Australia.	Cooma	Australia
country	Sarnath is a city located 13 kilometres north-east of Varanasi near the confluence of the Ganges and the Gomati rivers in Uttar Pradesh, India.	Sarnath	India
country	Thula is one of five towns in Yemen on the tentative UNESCO World Heritage Tentative List.	Thula	Yemen
country	Caruaru also hosts one of the biggest open-air traditional handicrafts markets of Brazil, the Feira de Caruaru.	Caruaru	Brazil
country	Las Villas is a natural region and comarca in Andalusia, southern Spain.	Las Villas	Spain
country	Metro Lázaro Cárdenas (Spanish: Estación Lázaro Cárdenas) is on Line 9 of the Mexico City Metro System between Metro Centro Médico and Metro Chabacano at the intersection of Eje Central and Eje 3 Sur.	Metro Lázaro Cárdenas	Mexico
country	Lewis Road East Falls is an 8 metre high terraced classic cascade waterfall found on private property, (private with permission to access), in Stoney Creek, Hamilton, Ontario, Canada.	Lewis Road East Falls	Canada
country	The Matalag River is a river in the Philippines flowing from the town of Kabugao in Apayao province to Rizal town in Cagayan province.	Matalag River	Philippines
country	Harang (Persian: هرنگ‎‎, also Romanized as Herang; also known as Hurnak) is a village in Harang Rural District, Kukherd District, Bastak County, Hormozgan Province, Iran.	Harang	Iran
country	Holmestrand Private Station (Norwegian: Holmestrand privatstasjon) was a railway station located in Holmestrand, Norway.	Holmestrand Private Station	Norway
country	El Mosquito was an independent weekly satire newspaper published in Buenos Aires, Argentina.	El Mosquito	Argentina
country	Bilashi is a historical village located in Sangli district, Maharashtra in India.	Bilashi	India
country	Atra Chal (Persian: اتراچال‎, also Romanized as Atrā Chāl) is a village in Estarabad-e Shomali Rural District, Baharan District, Gorgan County, Golestan Province, Iran.	Atra Chal	Iran
country	Imperia Tower in Moscow, Russia, is a 60-floor building complex that includes offices, a business center, a hotel and private apartments.	Imperia Tower	Russia
country	Villeneuve les Vertus Aerodrome, was a temporary World War I airfield in France.	Villeneuve les Vertus Aerodrome	France
country	The Raipur Municipal Corporation was ranked 6th out of 21 Cities for best governance & administrative practices in India in 2014.	Raipur	India
country	In 2005 a commemorative coin (3 ruble, silver) was issued by the Central Bank of Russia, featuring the Rusakov Workers' Club building.	Rusakov Workers' Club	Russia
country	Dunshah (Persian: دونشاه‎, also Romanized as Dūnshāh) is a village in Miankuh Rural District, Chapeshlu District, Dargaz County, Razavi Khorasan Province, Iran.	Dunshah	Iran
country	'Abadilah is a settlement in Fujairah, United Arab Emirates.	'Abadilah	United Arab Emirates
country	Noordoewer is a town in the ǁKaras Region of southern Namibia.	Noordoewer	Namibia
country	Divzand (Persian: ديوزند‎, also Romanized as Dīvzand; also known as Dīwāzān) is a village in Badr Rural District, in the Central District of Qorveh County, Kurdistan Province, Iran.	Divzand	Iran
country	The North Luzon East Expressway is a proposed 4-lane, 92.1-kilometer long limited-access toll expressway on the island of Luzon in the Philippines.	North Luzon East Expressway	Philippines
country	According to the Annual Report of Four Music GmbH of fiscal year 2009 to 2010, Sony Music Entertainment Germany GmbH has acquired all the shares of Four Music GmbH.	Four Music	Germany
country	Downtown Tijuana, officially colonia Zona Centro, is an official neighborhood of Tijuana, Mexico.	Downtown Tijuana	Mexico
country	Bissoe (Cornish: Besow, meaning birch trees) is a hamlet in west Cornwall, England, United Kingdom.	Bissoe	United Kingdom
country	Kutugertsi is a village in Kyustendil Municipality, Kyustendil Province, south-western Bulgaria.	Kutugertsi	Bulgaria
country	Parolise is a village and comune of the province of Avellino in the Campania region of southern Italy.	Parolise	Italy
country	Lake Lacha (Russian: Ла́ча, Ла́че) is a freshwater lake, located in the south of Kargopolsky District of Arkhangelsk Oblast in Russia, 7 kilometres (4.3 mi) south of the town of Kargopol.	Lake Lacha	Russia
country	Għajnsielem, meaning ``Peaceful Spring'', is a municipality on the southeastern coast of the island of Gozo in Malta, including the entire island of Comino.	Għajnsielem	Malta
country	Cape Esperance (9°15′S 159°42′E) is the northernmost point on Guadalcanal, Solomon Islands.	Cape Esperance	Solomon Islands
country	Lasikin Airport (IATA: WITG) is an airport in Sinabang, Simeulue island, Aceh, Indonesia.	Lasikin Airport	Indonesia
country	Bratislava fortifications usually refers to the medieval city fortifications of Bratislava, the capital of Slovakia, of which one gate and two sections of walls remain today.	Bratislava fortifications	Slovakia
country	UIML College, established in 1998, is part of a chain of language colleges in Punjab, Pakistan, with centres in Jhelum and Kharian.	UIML College	Pakistan
country	Zakmur (Serbian Cyrillic: Закмур) is a village in the municipality of Foča, Republika Srpska, Bosnia and Herzegovina.	Zakmur	Bosnia and Herzegovina
country	Chwałszyce (xfau̯ˈʂɨt͡sɛ) is a village in the administrative district of Gmina Nekla, within Września County, Greater Poland Voivodeship, in west-central Poland.	Chwałszyce	Poland
country	Los Furios is a six-piece band from Vancouver, British Columbia which has performed across Western Canada since 2000.	Los Furios	Canada
country	Ntangki National Park is a wildlife park located in Peren district of Nagaland, India.	Ntangki National Park	India
country	The Chakhil-i-Ghoundi Stupa, also code-named ``Stupa C1'', is a small limestone stupa from the Chakhil-i-Ghoundi monastery, at the archeological site of Hadda in eastern Afghanistan.	Chakhil-i-Ghoundi Stupa	Afghanistan
country	Government Azizul Haque College in Bogra is a public college under the National University of Bangladesh.	Government Azizul Haque College	Bangladesh
country	Żardyny (ʐarˈdɨnɨ) is a village in the administrative district of Gmina Bartoszyce, within Bartoszyce County, Warmian-Masurian Voivodeship, in northern Poland, close to the border with the Kaliningrad Oblast of Russia.	Żardyny	Poland
country	Antichasia (Greek: Αντιχάσια) is a forested mountain range in the northern Trikala and Larissa regional units in Thessaly, Greece.	Antichasia	Greece
country	Dera Ghazi Khan (Urdu: ڈيره غازي خان‎), abbreviated as D. G. Khan or locally as دیرہ غازی خان in nastaʿlīq script, is a geographically central city of Pakistan at the junction of all four provinces of Pakistan.	Dera Ghazi Khan	Pakistan
country	The Gulf of Manfredonia (Italian: Golfo di Manfredonia) is a gulf on the east coast of Italy.	Gulf of Manfredonia	Italy
country	The Dar es Salaam University College of Education (DUCE) is a constituent college of the University of Dar es Salaam in Tanzania.	Dar es Salaam University College of Education	Tanzania
country	Orewa, a town in New Zealand's North Island, lies on the Hibiscus Coast, just north of the base of the Whangaparaoa Peninsula and 40 kilometres north of central Auckland.	Orewa	New Zealand
country	Brahe Church (Swedish: Brakekyrkan) is a church building on the island of Visingsö in the lake of Vättern in Sweden.	Brahe Church	Sweden
country	The Sacred Heart Convent School (Bangkok) (Thai: โรงเรียนพระหฤทัยคอนแวนต์) is a private, Catholic college preparatory school in Khlong Toei District, Bangkok, Thailand.	Sacred Heart Convent School (Bangkok)	Thailand
country	Udon Thani (Thai: อุดรธานี, pronounced (ʔudɔːn tʰaːniː)) is one of the four major cities (Khorat, Ubon Ratchathani, Udon Thani, and Khon Kaen) of the Isan region, Thailand, (known as the ``big four of Isan'').	Udon Thani	Thailand
country	Kaluyi (Persian: كلويي‎, also Romanized as Kalūyī) is a village in Irafshan Rural District, Ashar District, Mehrestan County, Sistan and Baluchestan Province, Iran.	Kaluyi	Iran
country	Nowy Wiączemin (ˈnɔvɨ vjɔnˈt͡ʂɛmin) (German: Deutsch Gensemin) is a village in the administrative district of Gmina Słubice, within Płock County, Masovian Voivodeship, in east-central Poland.	Nowy Wiączemin	Poland
country	Sokoligóra (sɔkɔliˈɡura) is a village in the administrative district of Gmina Golub-Dobrzyń, within Golub-Dobrzyń County, Kuyavian-Pomeranian Voivodeship, in north-central Poland.	Sokoligóra	Poland
